,Characters,Cat,Pinyin,Meaning
127,行为,"Cat 2 (Culture, Manners, Business ) Culture",xíngwèi,Behavior
128,社会科学类社科类,"Cat 2 (Culture, Manners, Business ) Culture",shèhùikēxuélèishèkēlèi,Social Sciences Social Sciences
129,非虚构,"Cat 2 (Culture, Manners, Business ) Culture",fēixūgōu,Non -fiction
130,世界儿童文学经典丛书,"Cat 2 (Culture, Manners, Business ) Culture",shìjièértóngwénxuéjīngdiǎncóngshū,World Children's Literature Classic Series
131,世界名著,"Cat 2 (Culture, Manners, Business ) Culture",shìjièmíngzhù,World famous
132,漫画,"Cat 2 (Culture, Manners, Business ) Culture",mànhuà,comics
133,小说,"Cat 2 (Culture, Manners, Business ) Culture",xiǎoshuō,novel
134,决策,"Cat 2 (Culture, Manners, Business ) Culture",juécè,decision making
135,志愿者,"Cat 2 (Culture, Manners, Business ) Culture",zhìyuànzhě,volunteer
136,签证,"Cat 2 (Culture, Manners, Business ) Culture",qiānzhèng,visa
137,夏令时,"Cat 2 (Culture, Manners, Business ) Culture",xiàlìngshí,summer time
138,邀请,"Cat 2 (Culture, Manners, Business ) Culture",yāoqǐng,invite
139,绿皮火车,"Cat 2 (Culture, Manners, Business ) Culture",lv̀píhuǒchē,Green leather train
140,旅行爱好者,"Cat 2 (Culture, Manners, Business ) Culture",lv̌xíngàihǎozhě,Traveler
141,体面的死亡,"Cat 2 (Culture, Manners, Business ) Culture",tǐmiàndesǐwáng,Decent death
142,竞争对手,"Cat 2 (Culture, Manners, Business ) Culture",jìngzhēngdùishǒu,Rival
143,直播,"Cat 2 (Culture, Manners, Business ) Culture",zhíbō,live streaming
144,职位,"Cat 2 (Culture, Manners, Business ) Culture",zhíwèi,Position
145,如果没有执照他们前期投入的成本就浪费了,"Cat 2 (Culture, Manners, Business ) Culture",rúguǒméiyǒuzhízhàotāmenqiánqītóurùdechéngběnjìulàngfèile,"If there is no license, the cost they invested in the early stage would be wasted"
146,浪费,"Cat 2 (Culture, Manners, Business ) Culture",làngfèi,waste
147,成本,"Cat 2 (Culture, Manners, Business ) Culture",chéngběn,cost
148,期末考试,"Cat 2 (Culture, Manners, Business ) Culture",qīmòkǎoshì,Final exam
149,洗涤灵,"Cat 2 (Culture, Manners, Business ) Culture",xǐdílíng,Washing spirit
150,心惊肉跳,"Cat 2 (Culture, Manners, Business ) Culture",xīnliángròutiào,Shocking
151,保持个小时的睡眠,"Cat 3 (Actions, Diet, Health) Health",bǎochígèxiǎoshídeshùimián,Keep an hour's sleep
152,腹部肌肉,"Cat 3 (Actions, Diet, Health) Health",fùbùjīròu,Abdominal muscles
153,腹肌,"Cat 3 (Actions, Diet, Health) Health",fùjī,Abdominal muscle
154,卧推,"Cat 3 (Actions, Diet, Health) Health",wòtūi,Bench press
155,弱,"Cat 3 (Actions, Diet, Health) Health",ruò,weak
156,天生,"Cat 3 (Actions, Diet, Health) Health",tiānshēng,Born
157,泳姿,"Cat 3 (Actions, Diet, Health) Health",yǒngzī,Swimming posture
158,自由泳,"Cat 3 (Actions, Diet, Health) Health",zìyóuyǒng,Free swimming
159,蛙泳,"Cat 3 (Actions, Diet, Health) Health",wāyǒng,breaststroke
160,蝶泳,"Cat 3 (Actions, Diet, Health) Health",diéyǒng,Butterfly
161,姿势很美,"Cat 3 (Actions, Diet, Health) Health",zīshìhěnměi,Beautiful posture
162,仰泳,"Cat 3 (Actions, Diet, Health) Health",yǎngyǒng,Backstroke
163,划船机,"Cat 3 (Actions, Diet, Health) Health",huáchuánjī,Rowing machine
164,手臂力量,"Cat 3 (Actions, Diet, Health) Health",shǒubìlìliàng,Armor
165,引体向上,"Cat 3 (Actions, Diet, Health) Health",yǐntǐxiàngshàng,Tag up
166,举重,"Cat 3 (Actions, Diet, Health) Health",jǔzhòng,weightlifting
167,健美,"Cat 3 (Actions, Diet, Health) Health",jiànměi,Fit
168,部位,"Cat 3 (Actions, Diet, Health) Health",bùwèi,Site
169,普拉提,"Cat 3 (Actions, Diet, Health) Health",pǔlātí,Pilate
170,瑜伽球,"Cat 3 (Actions, Diet, Health) Health",yúqiéqíu,Yoga ball
171,平均地训练肌肉群语法,"Cat 3 (Actions, Diet, Health) Health",píngjūndìxùnliànjīròuqúnyǔfǎ,Average training muscle group grammar
172,力量训练,"Cat 3 (Actions, Diet, Health) Health",lìliàngxùnliàn,Strength Training
173,冲刺,"Cat 3 (Actions, Diet, Health) Health",chōngcì,Sprint
174,百米冲刺,"Cat 3 (Actions, Diet, Health) Health",bǎimǐchōngcì,100 -meter sprint
175,跑步机,"Cat 3 (Actions, Diet, Health) Health",pǎobùjī,Treadmill
176,心肌,"Cat 3 (Actions, Diet, Health) Health",xīnjī,Myocardium
177,心肺,"Cat 3 (Actions, Diet, Health) Health",xīnfèi,Heart and lung
178,有氧运动,"Cat 3 (Actions, Diet, Health) Health",yǒuyǎngyùndòng,Aerobic exercise
179,椭圆机,"Cat 3 (Actions, Diet, Health) Health",tuǒyuánjī,Elliptical machine
180,手臂,"Cat 3 (Actions, Diet, Health) Health",shǒubì,arm
181,身高,"Cat 3 (Actions, Diet, Health) Health",shēngāo,height
182,米,"Cat 3 (Actions, Diet, Health) Health",mǐ,Meter
183,体重,"Cat 3 (Actions, Diet, Health) Health",tǐzhòng,weight
184,我每天骑分钟健身单车,"Cat 3 (Actions, Diet, Health) Health",wǒměitiānqífēnzhōngjiànshēndānchē,I ride a minute of fitness bicycles every day
185,健身单车,"Cat 3 (Actions, Diet, Health) Health",jiànshēndānchē,Fitness bicycle
186,每组个,"Cat 3 (Actions, Diet, Health) Health",měizǔgè,Per group
187,三组俯卧撑,"Cat 3 (Actions, Diet, Health) Health",sānzǔfǔwòchēng,Three groups
188,训练胸部肌肉,"Cat 3 (Actions, Diet, Health) Health",xùnliànxiōngbùjīròu,Training chest muscles
189,训练有氧的能力,"Cat 3 (Actions, Diet, Health) Health",xùnliànyǒuyǎngdenénglì,The ability to train aerobic
190,无氧训练,"Cat 3 (Actions, Diet, Health) Health",wúyǎngxùnliàn,Anaerobic training
191,俯卧撑,"Cat 3 (Actions, Diet, Health) Health",fǔwòchēng,push ups
192,动作,"Cat 3 (Actions, Diet, Health) Health",dòngzuò,action
193,尝起来,"Cat 3 (Actions, Diet, Health) Health",chángqǐlái,taste like
194,这个尝起来像我妈妈做的菜,"Cat 3 (Actions, Diet, Health) Health",zhègèchángqǐláixiàngwǒmāmāzuòdecài,This tastes like the dish made by my mother
195,这个香水闻起来好像下雨的味道,"Cat 3 (Actions, Diet, Health) Health",zhègèxiāngshǔiwénqǐláihǎoxiàngxiàyǔdewèidào,This perfume smells like rain
196,这个香水闻起来有花的香味,"Cat 3 (Actions, Diet, Health) Health",zhègèxiāngshǔiwénqǐláiyǒuhuādexiāngwèi,This perfume smells the fragrance of flowers
197,茶和咖啡在功能上很相似,"Cat 3 (Actions, Diet, Health) Health",cháhékāfēizàigōngnéngshànghěnxiāngsì,Tea and coffee are very similar in function
198,细菌,"Cat 3 (Actions, Diet, Health) Health",xìjūn,bacteria
199,舞蹈,"Cat 3 (Actions, Diet, Health) Health",wǔdǎo,dance
200,翅膀,"Cat 3 (Actions, Diet, Health) Health",chìbǎng,wing
201,居家隔离,"Cat 3 (Actions, Diet, Health) Health",jūjiāgélí,Home isolation
202,包括,"Cat 3 (Actions, Diet, Health) Health",bāokuò,include
203,核酸检测点,"Cat 3 (Actions, Diet, Health) Health",hésuānjiǎncèdiǎn,Nucleic acid detection point
204,第一种是说谢谢,"Cat 3 (Actions, Diet, Health) Health",dìyīzhǒngshìshuōxièxiè,The first is to say thank you
205,泡茶,"Cat 3 (Actions, Diet, Health) Health",pàochá,Tea
206,不仅仅,"Cat 3 (Actions, Diet, Health) Health",bùjǐnjǐn,Not only
207,往往,"Cat 3 (Actions, Diet, Health) Health",wǎngwǎng,often
208,单身,"Cat 3 (Actions, Diet, Health) Health",dānshēn,single
209,绿色食品商店,"Cat 3 (Actions, Diet, Health) Health",lv̀sèshípǐnshāngdiàn,Green Food Store
210,荔枝,"Cat 3 (Actions, Diet, Health) Health",lìzhī,litchi
211,焦虑,"Cat 3 (Actions, Diet, Health) Health",jiāolv̀,anxiety
212,失眠,"Cat 3 (Actions, Diet, Health) Health",shīmián,Insomnia
213,睡眠,"Cat 3 (Actions, Diet, Health) Health",shùimián,Sleep
214,接触即兴,"Cat 3 (Actions, Diet, Health) Health",jiēhóngjíxīng,Improvisation
215,即兴,"Cat 3 (Actions, Diet, Health) Health",jíxīng,impromptu
216,通常,"Cat 3 (Actions, Diet, Health) Health",tōngcháng,usually
217,观察,"Cat 3 (Actions, Diet, Health) Health",guānchá,Observed
218,抑郁症,"Cat 3 (Actions, Diet, Health) Health",yìyùzhèng,depression
219,心理健康,"Cat 3 (Actions, Diet, Health) Health",xīnlǐjiànkāng,Psychological health
220,倒了,"Cat 3 (Actions, Diet, Health) Health",dǎole,fall down
221,降温,"Cat 3 (Actions, Diet, Health) Health",jiàngwēn,Cool down
222,症状,"Cat 3 (Actions, Diet, Health) Health",zhèngzhuàng,symptom
223,病例,"Cat 3 (Actions, Diet, Health) Health",bìnglì,Case
224,担心,"Cat 3 (Actions, Diet, Health) Health",dànxīn,Worry
225,四点半还醒着,"Cat 3 (Actions, Diet, Health) Health",sìdiǎnbànhuánxǐngzháo,Wake up at 4:30
226,赖床,"Cat 3 (Actions, Diet, Health) Health",làichuáng,Bed
227,着急,"Cat 3 (Actions, Diet, Health) Health",zháojí,in a hurry
228,按钮,"Cat 3 (Actions, Diet, Health) Health",ànnǐu,Button
229,桌椅,"Cat 3 (Actions, Diet, Health) Health",zhuōyǐ,Table and chair
230,老一辈,"Cat 3 (Actions, Diet, Health) Health",lǎoyībèi,Older generation
231,海拔,"Cat 3 (Actions, Diet, Health) Health",hǎibá,altitude
232,电饭锅,"Cat 3 (Actions, Diet, Health) Health",diànfànguō,Rice cooker
233,不要脸脸皮很厚,"Cat 3 (Actions, Diet, Health) Health",bùyàoliǎnliǎnpíhěnhòu,Faceable and thick -skinned
234,刚需,"Cat 3 (Actions, Diet, Health) Health",gāngxū,Just need
235,成本,"Cat 3 (Actions, Diet, Health) Health",chéngběn,cost
236,调料,"Cat 3 (Actions, Diet, Health) Health",diàoliào,seasoning
237,应用于,"Cat 3 (Actions, Diet, Health) Health",yìngyòngyú,Applied
238,症状,"Cat 3 (Actions, Diet, Health) Health",zhèngzhuàng,symptom
239,批准,"Cat 3 (Actions, Diet, Health) Health",pīzhǔn,approve
240,病例,"Cat 3 (Actions, Diet, Health) Health",bìnglì,Case
241,照顾,"Cat 3 (Actions, Diet, Health) Health",zhàogù,take care of
242,严格的素食主义者,"Cat 3 (Actions, Diet, Health) Health",yángédesùshízhǔyìzhě,Strict vegetarian
243,素食主义者,"Cat 3 (Actions, Diet, Health) Health",sùshízhǔyìzhě,vegetarian
244,保健品,"Cat 3 (Actions, Diet, Health) Health",bǎojiànpǐn,Health products
245,非处方药,"Cat 3 (Actions, Diet, Health) Health",fēichùfāngyào,Non-prescription drugs
246,处方,"Cat 3 (Actions, Diet, Health) Health",chùfāng,prescription
247,安眠药,"Cat 3 (Actions, Diet, Health) Health",ānmiányào,Sleeping pill
248,病人,"Cat 3 (Actions, Diet, Health) Health",bìngrén,patient
249,毒品,"Cat 3 (Actions, Diet, Health) Health",dúpǐn,poison
250,戒烟,"Cat 3 (Actions, Diet, Health) Health",jièyān,Quit smoking
251,滋生细菌,"Cat 3 (Actions, Diet, Health) Health",zīshēngxìjūn,Breeding bacteria
252,咖啡让我过于兴奋,"Cat 3 (Actions, Diet, Health) Health",kāfēiràngwǒguòyúxīngfèn,Coffee makes me too excited
253,淡,"Cat 3 (Actions, Diet, Health) Health",dàn,light
254,平均温度平均收入,"Cat 4 (Discussion, my beliefs, expression) ",píngjūnwēndùpíngjūnshōurù,Average temperature average income
255,平均提高,"Cat 4 (Discussion, my beliefs, expression) ",píngjūntígāo,Average improvement
256,相关的,"Cat 4 (Discussion, my beliefs, expression) ",xiāngguānde,related
257,这个尝起来很地道,"Cat 4 (Discussion, my beliefs, expression) ",zhègèchángqǐláihěndìdào,This taste is very authentic
258,闻起来,"Cat 4 (Discussion, my beliefs, expression) ",wénqǐlái,Smells
259,你的厨房闻起来好像米其林餐厅,"Cat 4 (Discussion, my beliefs, expression) ",nǐdechúfángwénqǐláihǎoxiàngmǐqílíncāntīng,Your kitchen smells like Michelin restaurant
260,像一样,"Cat 4 (Discussion, my beliefs, expression) ",xiàngyīyáng,Like ... the same
261,看起来很好吃,"Cat 4 (Discussion, my beliefs, expression) ",kànqǐláihěnhǎochī,It looks very tasty
262,热带地区,"Cat 4 (Discussion, my beliefs, expression) ",rèdàidìqū,Tropical area
263,小偷,"Cat 4 (Discussion, my beliefs, expression) ",xiǎotōu,Thief
264,我妈妈逼我上钢琴课,"Cat 4 (Discussion, my beliefs, expression) ",wǒmāmābīwǒshànggāngqínkè,My mother forced me to take piano class
265,相似的,"Cat 4 (Discussion, my beliefs, expression) ",xiāngsìde,similar
266,她是个情感专家,"Cat 4 (Discussion, my beliefs, expression) ",tāshìgèqínggǎnzhuānjiā,She is an emotional expert
267,同辈,"Cat 4 (Discussion, my beliefs, expression) ",tóngbèi,peer
268,长辈,"Cat 4 (Discussion, my beliefs, expression) ",chángbèi,elder
269,晚辈,"Cat 4 (Discussion, my beliefs, expression) ",wǎnbèi,younger generation
270,喝茶有很多讲究,"Cat 4 (Discussion, my beliefs, expression) ",hēcháyǒuhěnduōjiǎngjīu, There are many partiulcarities about tea culture
271,我A是个讲究人,"Cat 4 (Discussion, my beliefs, expression) ",wǒbàbàshìgèjiǎngjīurén,My A is a person who is very attentive to detail 
272,起码至少,"Cat 4 (Discussion, my beliefs, expression) ",qǐmǎzhìshǎo,At least at least
273,私人的,"Cat 4 (Discussion, my beliefs, expression) ",sīrénde,private
274,第一代,"Cat 4 (Discussion, my beliefs, expression) ",dìyīdài,First generation
275,移民,"Cat 4 (Discussion, my beliefs, expression) ",yímín,migrant
276,天赋,"Cat 4 (Discussion, my beliefs, expression) ",tiānfù,talentent 
277,歧视,"Cat 4 (Discussion, my beliefs, expression) ",qíshì,discriminate (descrimination) 
278,吸收新鲜的事物,"Cat 4 (Discussion, my beliefs, expression) ",xīshōuxīnxiāndeshìwù,Take in new perspectives 
279,后,"Cat 4 (Discussion, my beliefs, expression) ",hòu,back
280,年代,"Cat 4 (Discussion, my beliefs, expression) ",niándài,Era
281,幸福感,"Cat 4 (Discussion, my beliefs, expression) ",xìngfúgǎn,Happiness
282,人生哲学,"Cat 4 (Discussion, my beliefs, expression) ",rénshēngzhéxué,Philosophy of life
283,解决,"Cat 4 (Discussion, my beliefs, expression) ",jiějué,solve
284,无序,"Cat 4 (Discussion, my beliefs, expression) ",wúxù,Disorderly
285,控制欲,"Cat 4 (Discussion, my beliefs, expression) ",kòngzhìyù,Desire
286,明智的决定,"Cat 4 (Discussion, my beliefs, expression) ",míngzhìdejuédìng,a wise decision
287,即兴创作,"Cat 4 (Discussion, my beliefs, expression) ",jíxīngchuàngzuò,Improvisation
288,女性朋友,"Cat 4 (Discussion, my beliefs, expression) ",nv̌xìngpéngyǒu,Female friend who is not a girlfiend
289,不一定,"Cat 4 (Discussion, my beliefs, expression) ",bùyīdìng,uncertain
290,耐心,"Cat 4 (Discussion, my beliefs, expression) ",nàixīn,patience
291,减速,"Cat 4 (Discussion, my beliefs, expression) ",jiǎnsù,slow down
292,指标,"Cat 4 (Discussion, my beliefs, expression) ",zhǐbiāo,index
293,多巴胺,"Cat 4 (Discussion, my beliefs, expression) ",duōbāè,Dopamine
294,沟通,"Cat 4 (Discussion, my beliefs, expression) ",gōutōng,communicate
295,局外人,"Cat 4 (Discussion, my beliefs, expression) ",júwàirén,outsider
296,理论,"Cat 4 (Discussion, my beliefs, expression) ",lǐlùn,theory
297,惊喜,"Cat 4 (Discussion, my beliefs, expression) ",liángxǐ,surprise
298,惊讶,"Cat 4 (Discussion, my beliefs, expression) ",liángyà,surprise
299,经验,"Cat 4 (Discussion, my beliefs, expression) ",jīngyàn,experience
300,展览,"Cat 4 (Discussion, my beliefs, expression) ",zhǎnlǎn,exhibition
301,兼职,"Cat 4 (Discussion, my beliefs, expression) ",jiānzhí,part time
302,需求,"Cat 4 (Discussion, my beliefs, expression) ",xūqíu,need
303,供给,"Cat 4 (Discussion, my beliefs, expression) ",gōnggěi,supply
304,另外,"Cat 4 (Discussion, my beliefs, expression) ",lìngwài,in addition
305,运,"Cat 4 (Discussion, my beliefs, expression) ",yùn,transport
306,思路,"Cat 4 (Discussion, my beliefs, expression) ",sīlù,Thinking
307,逃跑,"Cat 4 (Discussion, my beliefs, expression) ",táopǎo,Run away
308,陷阱,"Cat 4 (Discussion, my beliefs, expression) ",xiànjǐng,trap
