,Characters,Pinyin,Meaning
89,职业方向,zhíyèfāngxiàng,Career
90,数据分析,shùjùfēnxī,data analysis
91,数据分析师,shùjùfēnxīshī,Data Analyst
92,经验,jīngyàn,experience
93,经历,jīnglì,experience
94,研究生,yánjīushēng,postgraduate
95,惊讶,liángyà,surprise
96,惊喜,liángxǐ,surprise
97,理论,lǐlùn,theory
98,企业文化,qǐyèwénhuà,company culture
99,人际关系,rénjìguānxì,Interpersonal relationship
100,搞人际关系,gǎorénjìguānxì,Interpersonal relationship
101,局外人,júwàirén,outsider
102,沟通,gōutōng,communicate
103,多巴胺,duōbāè,Dopamine
104,运动会让人的身体产生多巴胺,yùndònghùiràngréndeshēntǐchǎnshēngduōbāè,Games will make people's body produce dopamine
105,产生,chǎnshēng,produce
106,心理健康,xīnlǐjiànkāng,Psychological health
107,抑郁症,yìyùzhèng,depression
108,指标,zhǐbiāo,index
109,停车的位置,tíngchēdewèizhì,Parking position
110,停车位,tíngchēwèi,parking space
111,车道,chēdào,Lane
112,减速,jiǎnsù,slow down
113,遇到红灯需要让卡车减速,yùdàohóngdēngxūyàoràngqiǎchējiǎnsù,You need to decelerate the truck when you encounter a red light
114,绕过,ràoguò,Bypassed
115,耐心,nàixīn,patience
116,路症,lùzhèng,Path
117,不一定,bùyīdìng,uncertain
118,女性朋友,nv̌xìngpéngyǒu,Female friend
119,观察,guānchá,Observed
120,通常,tōngcháng,usually
121,平常,píngcháng,usually
122,信号,xìnhào,Signal
123,心流状态,xīnlíuzhuàngtài,State of mind
124,电焊可以帮我进入心流状态,diànhànkěyǐbāngwǒjìnrùxīnlíuzhuàngtài,Welding can help me enter the state of heart flow
125,集中,jízhōng,concentrated
126,我需要高度集中注意力,wǒxūyàogāodùjízhōngzhùyìlì,I need highly concentrated attention
127,即兴,jíxīng,impromptu
128,即兴创作,jíxīngchuàngzuò,Improvisation
129,即兴演讲,jíxīngyǎnjiǎng,talk show
130,接触即兴,jiēhóngjíxīng,Improvisation
131,手眼协调,shǒuyǎnxiédiào,Hand -eye coordination
132,青年旅社,qīngniánlv̌shè,Youth Hotel
133,明智的决定,míngzhìdejuédìng,a wise decision
134,明智的,míngzhìde,Sensible
135,睡眠,shùimián,Sleep
136,睡眠质量,shùimiánzhíliàng,Sleep quality
137,失眠,shīmián,Insomnia
138,焦虑,jiāolv̀,anxiety
139,青少年,qīngshǎonián,teenager
140,控制欲,kòngzhìyù,Desire
141,我妈妈的控制欲很强,wǒmāmādekòngzhìyùhěnqiáng,My mother's desire to control is very strong
142,导航,dǎoháng,navigation
143,无序,wúxù,Disorderly
144,创业,chuàngyè,Entrepreneurship
145,过程,guòchéng,process
146,解决,jiějué,solve
147,长远,chángyuǎn,long
148,人生哲学,rénshēngzhéxué,Philosophy of life
149,幸福感,xìngfúgǎn,Happiness
150,荔枝,lìzhī,litchi
151,绿色食品商店,lv̀sèshípǐnshāngdiàn,Green Food Store
152,年代,niándài,Era
153,后,hòu,back
154,吸收新鲜的事物,xīshōuxīnxiāndeshìwù,Absorb fresh things
155,工程师,gōngchéngshī,engineer
156,程序员,chéngxùyuán,programmer
157,歧视,qíshì,discriminate
158,才能,cáinéng,Talent
159,天赋,tiānfù,talent
160,职位,zhíwèi,Position
161,收入,shōurù,income
162,移民,yímín,migrant
163,第一代,dìyīdài,First generation
164,非技术性的,fēijìzhúxìngde,Non -technical
165,土地,tǔdì,land
166,发展,fāzhǎn,develop
167,开发,kāifā,Develop
168,未开发的,wèikāifāde,undeveloped
169,私人的,sīrénde,private
170,单身,dānshēn,single
171,缘分,yuánfēn,fate
172,遇见对的人是缘分,yùjiàndùiderénshìyuánfēn,The person who meets the right is fate
173,了解喝茶的入门简单了解茶桌礼仪哔哩哔哩,lejiěhēcháderùménjiǎndānlejiěcházhuōlǐyíbìlībìlī,"Learn about the introduction of tea, simply understand the tea table etiquette Bilibili"
174,中国茶文化有很多礼仪这些礼仪往往都伴随着悠久的历史背景所以我们喝茶时需要注意这些礼仪,zhōngguócháwénhuàyǒuhěnduōlǐyízhèxiēlǐyíwǎngwǎngdūbànsúizháoyōujǐudelìshǐbèijǐngsuǒyǐwǒmenhēcháshíxūyàozhùyìzhèxiēlǐyí,"There are many etiquettes in Chinese tea culture. These etiquettes are often accompanied by a long historical background, so we need to pay attention to these etiquette when drinking tea."
175,往往,wǎngwǎng,often
176,悠久的历史,yōujǐudelìshǐ,a long history
177,今天我们来聊一聊喝茶时需要注意的小细节,jīntiānwǒmenláiliáoyīliáohēcháshíxūyàozhùyìdexiǎoxìjié,"Today, let's talk about the small details that need attention when drinking tea"
178,中国茶文化绝不仅仅是泡一杯好茶,zhōngguócháwénhuàjuébùjǐnjǐnshìpàoyībēihǎochá,Chinese tea culture is more than just making a good cup of tea
179,不仅仅,bùjǐnjǐn,Not only
180,泡茶,pàochá,Tea
181,还伴随着很多茶礼仪,huánbànsúizháohěnduōchálǐyí,Also accompanied by many tea etiquette
182,这绝对不是穷讲究,zhèjuédùibùshìqióngjiǎngjīu,This is definitely not poor
183,穷讲究,qióngjiǎngjīu,Puzzle
184,而是在漫长的茶文化发展过程中约定俗成的行为,érshìzàimànchángdecháwénhuàfāzhǎnguòchéngzhōngyuēdìngsúchéngdexíngwèi,"Instead, the behavior that agreed in the long tea culture development process"
185,过程中,guòchéngzhōng,In the process
186,起码出去喝茶时人家一看知道我们是具备一些茶文化底蕴的,qǐmǎchūqùhēcháshírénjiāyīkànzhīdàowǒmenshìjùbèiyīxiēcháwénhuàdǐyùnde,"At least when they go out to drink tea, they see that we have some tea culture."
187,起码至少,qǐmǎzhìshǎo,At least at least
188,具备,jùbèi,have
189,而不是任人忽悠的小白,érbùshìrènrénhūyōudexiǎobái,"Instead of being flickering, Xiaobai"
190,任人,rènrén,Apparent
191,忽悠,hūyōu,Flickering
192,经常有人问倒茶如何回礼很多人用说谢谢或者举杯子扶杯子的方式但是这样的礼节不适用于喝茶通常我们会用叩手礼来作为喝茶回礼,jīngchángyǒurénwèndǎochárúhéhúilǐhěnduōrényòngshuōxièxièhuòzhějǔbēizǐfúbēizǐdefāngshìdànshìzhèyángdelǐjiébùshìyòngyúhēchátōngchángwǒmenhùiyòngkòushǒulǐláizuòwèihēcháhúilǐ,"Some people often ask how to return tea to gifts. Many people use thank you or raise a cup to help the cup, but this kind of etiquette is not suitable for drinking tea. Usually, we will use the hand to drink tea as a gift."
193,我被问过最多的一个问题就是当别人给我倒茶时我该怎么样去回礼,wǒbèiwènguòzùiduōdeyīgèwèntíjìushìdāngbiéréngěiwǒdǎocháshíwǒgāizěnyāoyángqùhúilǐ,One of the most questions I have asked is how I should go back to the gift when others pour me tea.
194,第一种是说谢谢,dìyīzhǒngshìshuōxièxiè,The first is to say thank you
195,说谢谢当然没有问题,shuōxièxièdāngránméiyǒuwèntí,"Thank you, of course there is no problem"
196,可以当你和朋友正聊的热火朝天,kěyǐdāngnǐhépéngyǒuzhèngliáoderèhuǒzhāotiān,You can talk to the Heat of you and your friends.
197,我倒茶给你你出于礼貌对我所谢谢,wǒdǎochágěinǐnǐchūyúlǐmàodùiwǒsuǒxièxiè,I pour tea for you to thank me for politeness
198,这个时候你和朋友的聊天就被迫中止了,zhègèshíhòunǐhépéngyǒudeliáotiānjìubèipòzhōngzhǐle,"At this time, your chat with your friend is forced to suspend"
199,大多数人说完谢谢以后的下一句就是,dàduōshùrénshuōwánxièxièyǐhòudexiàyījùjìushì,Most people have said thank you for the next sentence in the future is
200,诶我刚才正在说什么来着我刚才说到哪了,āiwǒgāngcáizhèngzàishuōshíyāoláizháowǒgāngcáishuōdàonǎle,"Eh, what I was talking about just now, where did I just say?"
201,第二种呢是在倒茶时用双手端起杯子,dìèrzhǒngníshìzàidǎocháshíyòngshuāngshǒuduānqǐbēizǐ,The second is to pick up the cup with both hands when pouring tea
202,第一这样很烫手,dìyīzhèyánghěntàngshǒu,The first is so hot
203,第二万一我手抖的话会把汤汁滴落到你的手上,dìèrwànyīwǒshǒudǒudehuàhùibǎtāngzhīdīluòdàonǐdeshǒushàng,"If I shake in my hand, I will drop the soup to your hand"
204,还有用手去扶杯子也是同理,huányǒuyòngshǒuqùfúbēizǐyěshìtónglǐ,It is also the same as to support the cup with your hands
205,那我们全国通用的一个手势,nàwǒmenquánguótōngyòngdeyīgèshǒushì,Then one gesture of our nationwide
206,回礼的手势就是叩手礼,húilǐdeshǒushìjìushìkòushǒulǐ,The gesture of returning gifts is to rit
207,叩首礼来源于一个关于乾隆皇帝的故事,kòushǒulǐláiyuányúyīgèguānyúgānlónghuángdìdegùshì,The first ceremony comes from a story about the Emperor Qianlong
208,相传乾隆皇帝下江南微服私访时去到当地一个茶馆,xiāngchuángānlónghuángdìxiàjiāngnánwēifúsīfǎngshíqùdàodāngdìyīgècháguǎn,"According to legend, Emperor Qianlong went to a local teahouse when he went to Jiangnan Micro -service"
209,店小二行云流水的表演了一套长流壶茶艺,diànxiǎoèrxíngyúnlíushǔidebiǎoyǎnleyītàochánglíuhúcháyì,The shop Xiaofeyun Yun Liu Shui performed a set of long -flowing pot tea art
210,这种茶艺在我国的四川地区至今还很常见,zhèzhǒngcháyìzàiwǒguódesìchuāndìqūzhìjīnhuánhěnchángjiàn,This kind of tea art is still common in Sichuan region in my country
211,讲究,jiǎngjīu,Extension
212,我爸爸是个讲究人,wǒbàbàshìgèjiǎngjīurén,My dad is a person who pays attention to
213,中国人讲究喝茶,zhōngguórénjiǎngjīuhēchá,Chinese people pay attention to tea
214,喝茶有很多讲究,hēcháyǒuhěnduōjiǎngjīu,There are a lot of attention to drink tea
215,晚辈,wǎnbèi,younger generation
216,长辈,chángbèi,elder
217,同辈,tóngbèi,peer
218,回礼,húilǐ,Return salute
219,核酸检测点,hésuānjiǎncèdiǎn,Nucleic acid detection point
220,专家,zhuānjiā,expert
221,我是电脑程序方面的专家,wǒshìdiànnǎochéngxùfāngmiàndezhuānjiā,I am an expert in computer program
222,这位医生是心脏方面的专家,zhèwèiyìshēngshìxīnzāngfāngmiàndezhuānjiā,This doctor is a heart expert
223,她是个情感专家,tāshìgèqínggǎnzhuānjiā,She is an emotional expert
224,包括,bāokuò,include
225,居家隔离,jūjiāgélí,Home isolation
226,居家服,jūjiāfú,Home service
227,行李箱,xínglǐxiāng,suitcase
228,相似的,xiāngsìde,similar
229,港口,gǎngkǒu,port
230,衬衫,chènshān,shirt
231,海运,hǎiyùn,Shipping
232,运输站,yùnshūzhàn,Transportation station
233,翅膀,chìbǎng,wing
234,歌声,gēshēng,singing
235,舞蹈,wǔdǎo,dance
236,逼,bī,force
237,我妈妈逼我上钢琴课,wǒmāmābīwǒshànggāngqínkè,My mother forced me to take piano class
238,弹钢琴,dàngāngqín,play piano
239,技能,jìnéng,Skill
240,小偷,xiǎotōu,Thief
241,小偷偷我的自行车,xiǎotōutōuwǒdezìxíngchē,Thieves secretly my bicycle
242,细菌,xìjūn,bacteria
243,热带地区,rèdàidìqū,Tropical area
244,尝起来,chángqǐlái,taste like
245,这个菜尝起来很奇怪,zhègècàichángqǐláihěnqíguài,This dish tastes strange
246,茶和咖啡在功能上是相似的,cháhékāfēizàigōngnéngshàngshìxiāngsìde,Tea and coffee are similar in function
247,茶和咖啡在功能上很相似,cháhékāfēizàigōngnéngshànghěnxiāngsì,Tea and coffee are very similar in function
248,看起来很好吃,kànqǐláihěnhǎochī,It looks very tasty
249,像一样,xiàngyīyáng,Like ... the same
250,她的歌声听起来像天使一样,tādegēshēngtīngqǐláixiàngtiānshǐyīyáng,Her singing sounds like an angel
251,听起来好像有小偷,tīngqǐláihǎoxiàngyǒuxiǎotōu,It sounds like a thief
252,闻起来,wénqǐlái,Smells
253,你的厨房闻起来好像米其林餐厅,nǐdechúfángwénqǐláihǎoxiàngmǐqílíncāntīng,Your kitchen smells like Michelin restaurant
254,这个香水闻起来有花的香味,zhègèxiāngshǔiwénqǐláiyǒuhuādexiāngwèi,This perfume smells the fragrance of flowers
255,这个香水闻起来好像下雨的味道,zhègèxiāngshǔiwénqǐláihǎoxiàngxiàyǔdewèidào,This perfume smells like rain
256,尝起来,chángqǐlái,taste like
257,这个菜尝起来很奇怪,zhègècàichángqǐláihěnqíguài,This dish tastes strange
258,这个尝起来像我妈妈做的菜,zhègèchángqǐláixiàngwǒmāmāzuòdecài,This tastes like the dish made by my mother
259,这个尝起来很地道,zhègèchángqǐláihěndìdào,This taste is very authentic
260,收垃圾的,shōulājíde,Garbage collection
261,注意力差,zhùyìlìchà,Worse
262,相关的,xiāngguānde,related
263,相关的话题,xiāngguāndehuàtí,Related topics
264,动作,dòngzuò,action
265,俯卧撑,fǔwòchēng,push ups
266,训练胸部肌肉,xùnliànxiōngbùjīròu,Training chest muscles
267,训练有氧的能力,xùnliànyǒuyǎngdenénglì,The ability to train aerobic
268,无氧训练,wúyǎngxùnliàn,Anaerobic training
269,三组俯卧撑,sānzǔfǔwòchēng,Three groups
270,每组个,měizǔgè,Per group
271,健身单车,jiànshēndānchē,Fitness bicycle
272,我每天骑分钟健身单车,wǒměitiānqífēnzhōngjiànshēndānchē,I ride a minute of fitness bicycles every day
273,跑步机,pǎobùjī,Treadmill
274,心肌,xīnjī,Myocardium
275,心肺,xīnfèi,Heart and lung
276,有氧运动,yǒuyǎngyùndòng,Aerobic exercise
277,椭圆机,tuǒyuánjī,Elliptical machine
278,手臂,shǒubì,arm
279,身高,shēngāo,height
280,米,mǐ,Meter
281,体重,tǐzhòng,weight
282,器械,qìxiè,instrument
283,冲刺,chōngcì,Sprint
284,百米冲刺,bǎimǐchōngcì,100 -meter sprint
285,小孩子,xiǎoháizǐ,child
286,力量训练,lìliàngxùnliàn,Strength Training
287,平均地训练肌肉群语法,píngjūndìxùnliànjīròuqúnyǔfǎ,Average training muscle group grammar
288,平均温度平均收入,píngjūnwēndùpíngjūnshōurù,Average temperature average income
289,平均提高,píngjūntígāo,Average improvement
290,腹部肌肉,fùbùjīròu,Abdominal muscles
291,腹肌,fùjī,Abdominal muscle
292,卧推,wòtūi,Bench press
293,弱,ruò,weak
294,天生,tiānshēng,Born
295,泳姿,yǒngzī,Swimming posture
296,自由泳,zìyóuyǒng,Free swimming
297,蛙泳,wāyǒng,breaststroke
298,蝶泳,diéyǒng,Butterfly
299,姿势很美,zīshìhěnměi,Beautiful posture
300,仰泳,yǎngyǒng,Backstroke
301,划船机,huáchuánjī,Rowing machine
302,手臂力量,shǒubìlìliàng,Armor
303,引体向上,yǐntǐxiàngshàng,Tag up
304,举重,jǔzhòng,weightlifting
305,健美,jiànměi,Fit
306,部位,bùwèi,Site
307,普拉提,pǔlātí,Pilate
308,瑜伽球,yúqiéqíu,Yoga ball
309,保持个小时的睡眠,bǎochígèxiǎoshídeshùimián,Keep an hour's sleep
